game,winner,game_length,peak_setup_p0,peak_setup_p1,ko_count_p0,ko_count_p1,p0_meganium_active_events,p1_meganium_active_events,p0_meganium_failure_reason,p1_meganium_failure_reason,p0_turn_chikorita_or_applin_played,p0_turn_any_evolution,p0_turn_meganium_in_play,p0_turn_meganium_benched,p0_turn_hydrapple_attack_ready,p0_turn_ogerpon_attack_ready,p0_turn_any_attacker_ready,p0_turn_full_target_state,p1_turn_chikorita_or_applin_played,p1_turn_any_evolution,p1_turn_meganium_in_play,p1_turn_meganium_benched,p1_turn_hydrapple_attack_ready,p1_turn_ogerpon_attack_ready,p1_turn_any_attacker_ready,p1_turn_full_target_state,p0_regressed_chikorita_or_applin_played,p0_regressed_any_evolution,p0_regressed_meganium_in_play,p0_regressed_meganium_benched,p0_regressed_hydrapple_attack_ready,p0_regressed_ogerpon_attack_ready,p0_regressed_any_attacker_ready,p0_regressed_full_target_state,p1_regressed_chikorita_or_applin_played,p1_regressed_any_evolution,p1_regressed_meganium_in_play,p1_regressed_meganium_benched,p1_regressed_hydrapple_attack_ready,p1_regressed_ogerpon_attack_ready,p1_regressed_any_attacker_ready,p1_regressed_full_target_state
49,0,13,520,245,5,6,,,,,1,5,3,3,7,3,3,3,10,10,10,10,,4,4,,True,True,False,False,True,True,True,True,True,True,False,False,False,True,True,False
50,1,22,177,238,6,3,,,drawn_never_played,played_then_ko_before_meganium,15,15,,,,13,13,,6,8,,,,6,6,,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False
51,1,14,443,212,6,0,5:forced_or_chosen_switch,,,played_stuck_never_evolved,1,5,3,3,,3,3,4,2,,,,,4,4,,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False
52,0,13,581,437,7,9,,13:unknown,,,5,7,7,7,7,9,7,7,1,12,12,12,,8,8,12,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True
53,0,11,591,118,7,5,,,,drawn_never_played,1,7,7,7,7,7,7,7,10,10,,,,,,,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
54,0,9,213,350,1,5,,,played_then_ko_before_meganium,,1,,,,,3,3,,4,4,8,8,,4,4,8,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True
55,1,12,219,606,7,4,11:forced_or_chosen_switch,,,,1,7,9,9,,5,5,,1,4,4,4,,4,4,6,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False
56,0,11,491,170,4,4,,10:forced_or_chosen_switch,,,1,5,5,5,9,9,9,5,6,6,8,8,,,,,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False
57,1,12,535,636,9,8,9:forced_or_chosen_switch;11:forced_or_chosen_switch,,,,3,5,5,5,,3,3,5,6,6,6,6,,6,6,6,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True
58,1,14,399,638,9,4,7:forced_or_chosen_switch;11:evolve_active_with_bench_available,,,,1,7,7,7,11,,11,13,4,4,4,4,,6,6,8,True,True,True,True,True,False,True,True,True,True,False,False,False,True,True,True
